TIPO DE ACIDENTE,DATA,HORA,REGIÃO,COORDENADA GEOGRÁFICA,SITUAÇÃO CLIMÁTICA/LUMINOSIDADE,CONDIÇÕES DA SUPERFÍCIE DE ROLAMENTO,POSSUI SINALIZAÇÃO HORIZONTAL,POSSUI SINALIZAÇÃO VERTICAL,PRÓXIMO A EQUIPO ELETRÔNICO,HOUVE OUTROS VEÍCULOS ENVOLVIDOS,QUANTOS VEÍCULOS,HAVIA OUTROS OCUPANTES NO VEÍCULO,QUANTOS OCUPANTES,ENVOLVIDOS,FERIDOS,ÓBITOS,FOI REALIZADO O TESTE DE BAFÔMETRO,QUAL O RESULTADO,POSSUI HABILITAÇÃO,VEÍCULO TIPO,HOUVE DANOS AO PATRIMÔNIO PÚBLICO?,HOUVE DANOS AO MEIO AMBIENTE?
Atropelamento,2021-02-16,06:15,Leste,"-25.429606, -49.243485",Seco / Dia,Molhada,Não,Sim,Sim,Não,1,Sim,5,2,1,0,Não,Não realizado,Sim,Moto,Não,Não
Colisão,2013-09-12,16:30,Oeste,"-25.412964, -49.313644",Seco / Dia,Escorregadia,Não,Sim,Sim,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2025-01-29,06:15,Centro,"-25.426025, -49.269414",Seco / Dia,Molhada,Sim,Sim,Sim,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Carro,Sim,Não
Atropelamento,2017-09-05,06:45,Oeste,"-25.434126, -49.330332",Seco / Dia,Seca,Sim,Sim,Não,Sim,4,Não,1,4,2,0,Não,Não realizado,Sim,Moto,Sim,Não
Colisão,2005-10-15,02:30,Leste,"-25.430857, -49.226916",Neblina / Noite,Seca,Sim,Sim,Não,Não,1,Não,1,1,1,0,Sim,Negativo,Sim,Caminhão,Não,Não
Queda de moto,2021-10-06,19:45,Centro,"-25.434857, -49.264224",Chuva / Noite,Molhada,Não,Sim,Não,Não,1,Não,1,2,0,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2008-12-23,13:15,Leste,"-25.417944, -49.237435",Chuva / Dia,Escorregadia,Não,Sim,Não,Não,1,Não,1,2,2,0,Sim,Negativo,Sim,Carro,Não,Não
Colisão,2016-04-22,21:15,Centro,"-25.410635, -49.284787",Chuva / Noite,Seca,Não,Não,Sim,Não,1,Sim,3,1,1,0,Sim,Negativo,Não,Moto,Não,Não
Colisão,2012-12-07,05:00,Leste,"-25.425136, -49.237177",Seco / Noite,Molhada,Não,Sim,Não,Sim,2,Sim,2,1,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2013-10-16,17:00,Sul,"-25.464895, -49.317575",Seco / Dia,Molhada,Sim,Não,Sim,Sim,3,Não,1,3,1,0,Sim,Positivo,Sim,Ônibus,Sim,Não
Queda de moto,2023-05-19,02:00,Sul,"-25.464346, -49.309920",Seco / Noite,Seca,Não,Não,Não,Não,1,Sim,4,1,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2018-03-28,15:45,Leste,"-25.426490, -49.207541",Neblina / Dia,Escorregadia,Sim,Não,Sim,Sim,4,Sim,4,1,0,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2021-10-28,05:15,Centro,"-25.418363, -49.266531",Seco / Noite,Escorregadia,Não,Sim,Não,Não,1,Não,1,2,1,0,Sim,Positivo,Sim,Ônibus,Sim,Não
Capotamento,2006-06-09,03:15,Leste,"-25.430948, -49.222905",Chuva / Noite,Seca,Sim,Sim,Não,Não,1,Sim,5,2,0,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Atropelamento,2021-05-17,00:30,Leste,"-25.413322, -49.214684",Chuva / Noite,Seca,Não,Sim,Sim,Sim,4,Não,1,2,1,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Queda de moto,2005-12-22,02:15,Sul,"-25.443556, -49.305095",Seco / Noite,Molhada,Não,Não,Sim,Não,1,Não,1,2,1,0,Não,Não realizado,Sim,Carro,Sim,Não
Queda de moto,2017-12-22,15:00,Norte,"-25.403650, -49.262062",Chuva / Dia,Escorregadia,Não,Sim,Sim,Sim,4,Não,1,1,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Capotamento,2012-07-27,19:00,Norte,"-25.409945, -49.247724",Seco / Noite,Escorregadia,Não,Sim,Não,Não,1,Sim,4,1,1,0,Não,Não realizado,Não,Caminhão,Não,Não
Colisão,2012-04-28,05:30,Sul,"-25.449592, -49.302310",Seco / Noite,Seca,Sim,Não,Não,Não,1,Não,1,4,2,0,Sim,Negativo,Sim,Carro,Sim,Não
Atropelamento,2024-03-30,18:45,Centro,"-25.410778, -49.260548",Seco / Dia,Seca,Não,Não,Não,Sim,2,Não,1,2,2,0,Sim,Positivo,Sim,Ônibus,Sim,Não
Atropelamento,2005-11-20,16:15,Sul,"-25.465040, -49.302158",Seco / Dia,Escorregadia,Não,Não,Não,Sim,4,Sim,3,3,1,0,Sim,Positivo,Sim,Carro,Sim,Não
Queda de moto,2005-04-15,09:30,Sul,"-25.460953, -49.294594",Seco / Dia,Seca,Sim,Não,Não,Sim,4,Sim,4,4,4,0,Não,Não realizado,Sim,Moto,Não,Não
Colisão,2021-03-02,06:30,Norte,"-25.389325, -49.241381",Seco / Dia,Escorregadia,Não,Sim,Não,Não,1,Sim,5,1,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2012-01-04,04:30,Leste,"-25.439566, -49.227559",Seco / Noite,Molhada,Sim,Sim,Não,Sim,4,Não,1,2,2,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2017-12-10,07:15,Centro,"-25.428556, -49.264719",Chuva / Dia,Molhada,Sim,Não,Não,Não,1,Não,1,1,0,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2025-12-30,10:15,Sul,"-25.463675, -49.319970",Seco / Dia,Seca,Não,Sim,Sim,Sim,4,Sim,4,2,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2008-01-04,11:00,Oeste,"-25.438849, -49.310519",Seco / Dia,Escorregadia,Não,Não,Sim,Não,1,Não,1,3,0,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2018-08-11,18:15,Centro,"-25.438677, -49.263296",Seco / Dia,Molhada,Sim,Sim,Sim,Sim,2,Não,1,3,3,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Queda de moto,2012-06-02,19:45,Leste,"-25.425369, -49.219711",Chuva / Noite,Seca,Não,Sim,Não,Sim,4,Não,1,2,2,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Atropelamento,2024-08-12,03:45,Leste,"-25.431095, -49.227299",Seco / Noite,Escorregadia,Sim,Sim,Não,Não,1,Não,1,5,0,0,Sim,Positivo,Sim,Carro,Não,Não
Colisão,2009-08-17,12:30,Leste,"-25.436791, -49.225047",Chuva / Dia,Molhada,Não,Não,Não,Sim,3,Sim,4,1,0,0,Sim,Positivo,Sim,Moto,Não,Não
Queda de moto,2022-06-04,18:45,Sul,"-25.459614, -49.288330",Seco / Dia,Seca,Não,Sim,Sim,Não,1,Não,1,3,1,0,Sim,Positivo,Sim,Carro,Sim,Não
Queda de moto,2013-11-08,02:45,Norte,"-25.401745, -49.275845",Chuva / Noite,Molhada,Sim,Não,Sim,Sim,3,Sim,4,1,1,0,Não,Não realizado,Sim,Carro,Não,Não
Atropelamento,2025-05-11,06:45,Oeste,"-25.423223, -49.323402",Seco / Dia,Molhada,Não,Sim,Sim,Sim,4,Sim,2,4,3,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2025-07-19,19:30,Sul,"-25.453014, -49.308158",Chuva / Noite,Seca,Não,Não,Sim,Sim,3,Sim,2,3,3,0,Sim,Negativo,Sim,Bicicleta,Não,Não
Colisão,2019-02-15,21:15,Norte,"-25.408184, -49.243791",Seco / Noite,Escorregadia,Não,Sim,Sim,Não,1,Sim,5,1,1,0,Sim,Positivo,Sim,Caminhão,Não,Não
Colisão,2020-02-16,09:30,Centro,"-25.428608, -49.288869",Chuva / Dia,Seca,Não,Não,Sim,Sim,3,Sim,2,3,3,0,Não,Não realizado,Sim,Carro,Não,Não
Colisão,2013-05-05,04:00,Sul,"-25.469739, -49.308431",Neblina / Noite,Seca,Sim,Não,Não,Não,1,Sim,3,2,0,0,Sim,Negativo,Sim,Carro,Não,Não
Colisão,2017-01-27,21:45,Leste,"-25.429422, -49.224091",Seco / Noite,Molhada,Sim,Não,Sim,Não,1,Não,1,2,0,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2015-07-21,06:45,Centro,"-25.437517, -49.282447",Chuva / Dia,Escorregadia,Sim,Não,Não,Sim,3,Sim,2,4,0,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2015-06-08,14:45,Leste,"-25.420019, -49.235621",Seco / Dia,Molhada,Não,Não,Sim,Sim,3,Sim,5,2,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2018-12-13,10:30,Sul,"-25.442391, -49.285396",Seco / Dia,Seca,Sim,Sim,Sim,Sim,3,Sim,4,1,1,0,Não,Não realizado,Sim,Carro,Sim,Não
Atropelamento,2017-01-12,17:00,Leste,"-25.439017, -49.239102",Seco / Dia,Seca,Sim,Sim,Não,Não,1,Não,1,2,1,0,Sim,Negativo,Sim,Ônibus,Sim,Não
Colisão,2006-03-26,16:45,Leste,"-25.423476, -49.226394",Chuva / Dia,Molhada,Não,Não,Não,Não,1,Sim,5,3,0,0,Sim,Positivo,Sim,Carro,Não,Não
Atropelamento,2018-04-21,12:45,Oeste,"-25.420432, -49.327579",Seco / Dia,Molhada,Sim,Sim,Não,Não,1,Não,1,4,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2009-05-20,07:00,Norte,"-25.392568, -49.258655",Chuva / Dia,Seca,Sim,Sim,Não,Não,1,Sim,4,1,1,0,Sim,Positivo,Sim,Moto,Não,Não
Capotamento,2008-06-02,01:15,Oeste,"-25.424080, -49.307412",Seco / Noite,Seca,Sim,Sim,Não,Sim,2,Sim,4,2,2,0,Sim,Positivo,Sim,Carro,Sim,Não
Queda de moto,2024-07-21,18:15,Sul,"-25.443463, -49.288127",Seco / Dia,Escorregadia,Não,Não,Sim,Não,1,Não,1,1,1,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2025-07-06,23:15,Centro,"-25.437978, -49.288407",Seco / Noite,Molhada,Sim,Não,Não,Sim,4,Não,1,5,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2024-09-14,04:15,Sul,"-25.457434, -49.291298",Chuva / Noite,Molhada,Sim,Sim,Sim,Sim,2,Não,1,3,1,0,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2018-02-18,13:15,Norte,"-25.408160, -49.285894",Seco / Dia,Seca,Não,Sim,Sim,Não,1,Sim,4,1,0,0,Sim,Negativo,Sim,Moto,Sim,Não
Atropelamento,2021-06-03,01:30,Sul,"-25.446219, -49.299007",Seco / Noite,Escorregadia,Sim,Sim,Não,Não,1,Sim,3,3,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Queda de moto,2023-04-09,05:15,Oeste,"-25.421249, -49.318988",Seco / Noite,Escorregadia,Não,Sim,Não,Sim,4,Não,1,2,2,0,Sim,Positivo,Sim,Moto,Sim,Não
Queda de moto,2013-03-23,21:15,Oeste,"-25.411579, -49.336781",Chuva / Noite,Seca,Sim,Não,Sim,Sim,2,Não,1,1,1,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Queda de moto,2022-06-11,08:15,Sul,"-25.467363, -49.310200",Seco / Dia,Escorregadia,Não,Não,Sim,Sim,3,Sim,2,3,0,0,Sim,Positivo,Sim,Carro,Não,Sim
Queda de moto,2013-01-12,10:15,Oeste,"-25.437258, -49.332314",Seco / Dia,Molhada,Sim,Não,Sim,Sim,2,Não,1,4,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Atropelamento,2025-01-04,13:45,Centro,"-25.430770, -49.260276",Seco / Dia,Seca,Não,Sim,Não,Sim,3,Sim,3,5,2,1,Sim,Negativo,Sim,Ônibus,Sim,Não
Queda de moto,2023-03-22,04:45,Leste,"-25.420085, -49.215602",Seco / Noite,Escorregadia,Não,Não,Não,Sim,2,Não,1,2,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Colisão,2021-10-28,22:30,Leste,"-25.410679, -49.202388",Chuva / Noite,Seca,Sim,Sim,Sim,Sim,3,Sim,5,1,1,0,Sim,Positivo,Não,Bicicleta,Sim,Não
Atropelamento,2021-04-13,08:00,Norte,"-25.392224, -49.264265",Seco / Dia,Seca,Sim,Sim,Sim,Não,1,Sim,4,5,4,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Capotamento,2024-12-12,14:00,Sul,"-25.469710, -49.310338",Seco / Dia,Seca,Sim,Não,Não,Não,1,Sim,3,3,1,1,Não,Não realizado,Sim,Caminhão,Não,Não
Colisão,2012-03-08,05:15,Sul,"-25.457503, -49.304218",Seco / Noite,Seca,Não,Sim,Sim,Não,1,Não,1,2,1,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2018-04-22,02:15,Centro,"-25.427321, -49.272136",Chuva / Noite,Escorregadia,Sim,Sim,Sim,Não,1,Sim,4,1,1,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2018-02-27,18:00,Oeste,"-25.435889, -49.303461",Seco / Dia,Escorregadia,Não,Não,Sim,Sim,2,Sim,4,5,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2015-09-27,13:15,Sul,"-25.459404, -49.302919",Seco / Dia,Molhada,Não,Sim,Não,Não,1,Sim,4,3,3,0,Sim,Positivo,Sim,Moto,Sim,Não
Queda de moto,2008-10-22,03:00,Leste,"-25.412751, -49.225694",Chuva / Noite,Seca,Sim,Sim,Não,Sim,2,Sim,3,1,1,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2014-09-12,19:00,Leste,"-25.418197, -49.204299",Seco / Noite,Escorregadia,Sim,Sim,Não,Não,1,Não,1,2,0,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Atropelamento,2014-10-07,08:45,Leste,"-25.422633, -49.215788",Seco / Dia,Escorregadia,Não,Não,Não,Não,1,Sim,4,5,0,0,Sim,Negativo,Sim,Ônibus,Não,Sim
Colisão,2009-01-29,05:00,Sul,"-25.445152, -49.293824",Chuva / Noite,Escorregadia,Não,Sim,Não,Não,1,Não,1,3,2,0,Não,Não realizado,Sim,Carro,Sim,Não
Colisão,2019-10-27,01:15,Oeste,"-25.413336, -49.323325",Neblina / Noite,Molhada,Sim,Sim,Não,Sim,2,Sim,4,2,0,0,Não,Não realizado,Sim,Moto,Sim,Não
Colisão,2013-11-02,15:15,Oeste,"-25.432096, -49.326840",Neblina / Dia,Molhada,Sim,Sim,Não,Sim,2,Sim,5,1,1,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Atropelamento,2024-01-23,13:00,Norte,"-25.392564, -49.264363",Chuva / Dia,Seca,Não,Sim,Sim,Sim,2,Não,1,3,1,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2018-05-20,17:30,Norte,"-25.386569, -49.260746",Seco / Dia,Molhada,Não,Sim,Sim,Sim,4,Sim,4,2,1,0,Não,Não realizado,Não,Moto,Não,Não
Colisão,2020-09-08,07:15,Sul,"-25.472359, -49.291240",Chuva / Dia,Seca,Sim,Sim,Sim,Não,1,Sim,5,2,0,0,Não,Não realizado,Sim,Carro,Não,Não
Colisão,2006-05-27,12:45,Centro,"-25.438885, -49.275128",Neblina / Dia,Seca,Não,Não,Não,Sim,3,Não,1,4,4,0,Sim,Negativo,Sim,Moto,Sim,Não
Colisão,2008-11-08,06:15,Oeste,"-25.436563, -49.300836",Chuva / Dia,Escorregadia,Sim,Não,Não,Sim,4,Sim,2,2,0,0,Não,Não realizado,Sim,Carro,Sim,Não
Colisão,2010-01-29,15:15,Sul,"-25.458871, -49.313013",Seco / Dia,Molhada,Não,Sim,Sim,Sim,2,Não,1,1,1,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2005-06-28,17:45,Oeste,"-25.414139, -49.337260",Seco / Dia,Molhada,Sim,Sim,Sim,Sim,2,Não,1,2,1,0,Não,Não realizado,Não,Caminhão,Sim,Não
Capotamento,2024-01-09,17:30,Oeste,"-25.414411, -49.310293",Seco / Dia,Escorregadia,Sim,Sim,Sim,Sim,4,Não,1,3,3,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2014-08-21,12:30,Oeste,"-25.419775, -49.333120",Seco / Dia,Escorregadia,Não,Sim,Sim,Não,1,Não,1,5,0,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2006-10-19,10:00,Centro,"-25.414512, -49.261375",Seco / Dia,Escorregadia,Sim,Não,Não,Não,1,Não,1,2,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2012-06-14,14:00,Centro,"-25.430951, -49.262976",Seco / Dia,Molhada,Não,Não,Não,Não,1,Sim,2,2,1,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2014-07-29,19:15,Norte,"-25.395924, -49.262537",Chuva / Noite,Molhada,Sim,Sim,Não,Sim,4,Sim,3,2,0,0,Sim,Positivo,Sim,Bicicleta,Sim,Não
Colisão,2017-11-24,11:00,Centro,"-25.414390, -49.280357",Chuva / Dia,Escorregadia,Não,Não,Sim,Não,1,Sim,5,1,0,0,Não,Não realizado,Sim,Bicicleta,Sim,Não
Colisão,2006-05-20,09:30,Norte,"-25.388689, -49.280284",Chuva / Dia,Escorregadia,Sim,Sim,Sim,Não,1,Não,1,2,0,0,Sim,Negativo,Sim,Moto,Não,Não
Queda de moto,2017-11-19,15:30,Leste,"-25.432130, -49.235531",Seco / Dia,Escorregadia,Não,Não,Sim,Não,1,Não,1,1,0,0,Não,Não realizado,Não,Moto,Não,Não
Colisão,2006-04-02,08:45,Leste,"-25.439656, -49.223974",Seco / Dia,Escorregadia,Sim,Não,Não,Sim,2,Sim,2,2,0,0,Sim,Negativo,Sim,Caminhão,Sim,Não
Atropelamento,2022-04-21,15:00,Oeste,"-25.423712, -49.308326",Chuva / Dia,Seca,Sim,Sim,Não,Sim,3,Não,1,5,2,0,Sim,Positivo,Sim,Carro,Não,Não
Colisão,2016-09-14,19:00,Leste,"-25.424146, -49.209194",Seco / Noite,Molhada,Sim,Sim,Sim,Não,1,Sim,3,1,1,0,Sim,Negativo,Sim,Moto,Não,Sim
Atropelamento,2015-06-12,22:15,Sul,"-25.462325, -49.309044",Seco / Noite,Seca,Não,Não,Sim,Sim,4,Sim,2,5,0,0,Não,Não realizado,Sim,Bicicleta,Não,Não
Colisão,2017-10-15,05:15,Centro,"-25.414068, -49.287079",Seco / Noite,Molhada,Não,Não,Sim,Sim,3,Sim,3,1,0,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2009-10-23,23:30,Oeste,"-25.427108, -49.301114",Chuva / Noite,Molhada,Sim,Não,Não,Sim,3,Sim,4,5,2,0,Sim,Positivo,Sim,Carro,Sim,Não
Colisão,2017-09-29,01:45,Oeste,"-25.431350, -49.338093",Chuva / Noite,Seca,Sim,Sim,Sim,Sim,3,Não,1,1,1,0,Sim,Positivo,Sim,Bicicleta,Sim,Não
Capotamento,2006-01-12,19:00,Oeste,"-25.414827, -49.324101",Chuva / Noite,Seca,Sim,Não,Não,Sim,4,Não,1,1,0,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2021-03-23,02:00,Norte,"-25.407097, -49.270917",Chuva / Noite,Seca,Sim,Não,Não,Não,1,Sim,3,4,3,0,Não,Não realizado,Sim,Moto,Não,Não
Queda de moto,2025-05-21,17:45,Norte,"-25.397565, -49.274415",Neblina / Dia,Seca,Sim,Não,Não,Não,1,Sim,3,1,0,0,Não,Não realizado,Sim,Ônibus,Sim,Não
Colisão,2014-02-14,22:00,Leste,"-25.431765, -49.201561",Neblina / Noite,Escorregadia,Não,Não,Não,Sim,3,Não,1,1,1,1,Sim,Positivo,Sim,Caminhão,Não,Não
Colisão,2024-09-10,20:30,Norte,"-25.392404, -49.243539",Seco / Noite,Escorregadia,Não,Sim,Não,Não,1,Não,1,2,1,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Atropelamento,2016-05-20,10:15,Sul,"-25.478961, -49.283885",Chuva / Dia,Seca,Sim,Não,Sim,Não,1,Sim,2,2,0,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2012-07-14,21:00,Norte,"-25.409262, -49.240094",Seco / Noite,Molhada,Sim,Não,Não,Sim,4,Não,1,2,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Atropelamento,2025-08-09,14:45,Norte,"-25.406058, -49.257683",Seco / Dia,Seca,Sim,Não,Sim,Sim,2,Sim,5,4,3,0,Sim,Negativo,Sim,Moto,Não,Não
Atropelamento,2015-04-24,01:30,Norte,"-25.382035, -49.281851",Seco / Noite,Escorregadia,Sim,Não,Não,Sim,3,Não,1,3,2,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2018-06-25,13:30,Sul,"-25.475333, -49.312094",Chuva / Dia,Escorregadia,Sim,Sim,Não,Não,1,Sim,4,1,1,0,Não,Não realizado,Sim,Carro,Sim,Sim
Colisão,2023-04-09,21:30,Centro,"-25.418249, -49.265694",Seco / Noite,Seca,Sim,Não,Não,Sim,3,Não,1,1,0,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Atropelamento,2019-01-04,23:30,Centro,"-25.426078, -49.277982",Seco / Noite,Molhada,Sim,Não,Não,Não,1,Sim,2,3,2,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2009-12-23,00:45,Oeste,"-25.417701, -49.300460",Seco / Noite,Molhada,Sim,Não,Não,Sim,3,Sim,3,1,0,0,Não,Não realizado,Sim,Moto,Sim,Não
Atropelamento,2021-10-01,15:15,Leste,"-25.413560, -49.238973",Chuva / Dia,Molhada,Não,Não,Sim,Sim,4,Sim,3,4,0,0,Sim,Positivo,Sim,Bicicleta,Não,Não
Atropelamento,2013-08-07,09:30,Oeste,"-25.431506, -49.339448",Seco / Dia,Molhada,Sim,Não,Não,Não,1,Não,1,2,0,0,Sim,Positivo,Sim,Caminhão,Sim,Não
Colisão,2005-08-03,17:00,Centro,"-25.435622, -49.271164",Seco / Dia,Seca,Sim,Sim,Não,Sim,2,Sim,2,1,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2015-09-13,12:15,Norte,"-25.383780, -49.286099",Chuva / Dia,Escorregadia,Não,Sim,Não,Não,1,Não,1,1,1,0,Não,Não realizado,Sim,Moto,Não,Não
Capotamento,2008-04-27,20:15,Sul,"-25.463484, -49.317086",Chuva / Noite,Molhada,Não,Não,Não,Não,1,Sim,5,1,1,0,Sim,Positivo,Sim,Caminhão,Não,Não
Queda de moto,2005-02-06,03:00,Centro,"-25.433888, -49.277332",Seco / Noite,Seca,Sim,Sim,Não,Não,1,Sim,3,1,1,0,Não,Não realizado,Sim,Moto,Não,Não
Atropelamento,2021-06-26,13:15,Sul,"-25.476753, -49.291555",Chuva / Dia,Molhada,Não,Não,Não,Não,1,Sim,5,2,0,0,Sim,Negativo,Sim,Caminhão,Sim,Não
Colisão,2011-08-02,14:45,Norte,"-25.390310, -49.275854",Seco / Dia,Molhada,Não,Sim,Sim,Não,1,Sim,5,1,1,0,Não,Não realizado,Não,Caminhão,Não,Não
Atropelamento,2019-11-07,03:15,Oeste,"-25.414336, -49.305953",Chuva / Noite,Molhada,Não,Sim,Sim,Não,1,Não,1,2,2,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Queda de moto,2011-04-06,02:00,Oeste,"-25.417148, -49.331316",Seco / Noite,Escorregadia,Não,Sim,Sim,Não,1,Sim,4,3,3,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2005-02-02,01:45,Sul,"-25.443018, -49.293536",Seco / Noite,Seca,Não,Sim,Sim,Não,1,Sim,4,1,0,0,Não,Não realizado,Sim,Caminhão,Não,Não
Capotamento,2017-10-15,18:45,Centro,"-25.430967, -49.284494",Chuva / Dia,Escorregadia,Sim,Sim,Não,Sim,3,Não,1,3,3,0,Não,Não realizado,Sim,Caminhão,Sim,Não
Colisão,2013-11-12,15:45,Sul,"-25.456309, -49.309875",Chuva / Dia,Molhada,Não,Sim,Não,Sim,3,Não,1,1,0,0,Sim,Positivo,Sim,Moto,Sim,Não
Colisão,2009-06-18,20:45,Centro,"-25.437414, -49.285103",Chuva / Noite,Molhada,Não,Não,Sim,Sim,4,Não,1,3,1,0,Não,Não realizado,Sim,Ônibus,Não,Não
Colisão,2006-07-17,13:30,Norte,"-25.384606, -49.271150",Chuva / Dia,Escorregadia,Não,Não,Sim,Sim,4,Não,1,1,1,0,Sim,Negativo,Sim,Moto,Sim,Não
